run_id,plan,method,config_path,seed,parent_checkpoints,steps,batch_size,context,processed_targets_including_ancestry,parameters,hardware,threads,train_precision,train_seconds,validation_seconds,test_seconds,peak_ram_gb,peak_gpu_allocated_gb,validation_bpb,test_bpb,checkpoint_sha256,selected_on,notes
_smoke_distill_cpu,distill,student,,17,,20,32,256,163840,1049216,cpu distillation,8,fp32,10.5,6.5,,0,0,3.224298,,2e73f5e6e07cc77c29195ad319c451b20f0b9b8d8cb0ce93e7d3eda655e340e5,validation,CPU smoke test
ablate-norm-s17,ablate-norm,student,configs/modern-layernorm.json,17,,1200,32,256,9830400,1050368,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,764.8,22.7,,1.64,0,1.835216,,f37b6f5f41e602ed1eb436380b9ef03ac7e171675c65c7be3cfee5fb74aa5021,validation,ablation: LayerNorm in place of RMSNorm
ablate-norm-s18,ablate-norm,student,configs/modern-layernorm.json,18,,1200,32,256,9830400,1050368,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,832.5,20.1,,1.64,0,1.839318,,38449d87b2f610345ffc7c3b5cf4f9096923cc1413e7a9b3cc904fe0e7e3cd50,validation,ablation: LayerNorm in place of RMSNorm
ablate-norm-s19,ablate-norm,student,configs/modern-layernorm.json,19,,1200,32,256,9830400,1050368,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,972.5,22.5,,1.64,0,1.83772,,2f0764d4c38518d8d8ef3b3aba4caadcbc87d79c43d3f5a1c70a61c71d408831,validation,ablation: LayerNorm in place of RMSNorm
ablate-rope-s17,ablate-rope,student,configs/modern-pos.json,17,,1200,32,256,9830400,1081984,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,747.9,14.6,,1.54,0,2.016168,,5fea8045ad6caec6854f953cf5b95169925cf489c390b67bdb2d6d40922214fc,validation,ablation: learned absolute positions in place of RoPE
ablate-rope-s18,ablate-rope,student,configs/modern-pos.json,18,,1200,32,256,9830400,1081984,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,780.3,16.6,,1.62,0,2.005569,,ed05644dd841dd04babaacef849a21be841f2984761c54009cc94328d39bdd49,validation,ablation: learned absolute positions in place of RoPE
ablate-rope-s19,ablate-rope,student,configs/modern-pos.json,19,,1200,32,256,9830400,1081984,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,765.6,15.1,,1.63,0,2.018444,,87bbf76272998cdc77790706a28780817683d18b9eb14a8cfde1481b6b1c190b,validation,ablation: learned absolute positions in place of RoPE
ablate-swiglu-s17,ablate-swiglu,student,configs/modern-gelu.json,17,,1200,32,256,9830400,1049728,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,671.8,17.1,,1.45,0,1.931251,,e0c3ab77b01ff83ca7810972faa3ab76935c1e6b8f7de10df8f5160615a3322c,validation,"ablation: GELU MLP in place of SwiGLU, everything else identical"
ablate-swiglu-s18,ablate-swiglu,student,configs/modern-gelu.json,18,,1200,32,256,9830400,1049728,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,919.1,29.5,,1.62,0,1.926924,,fcc6ba4420db332e58784e52a972d13698e4308ecb6e04e8ecfbe79945544c95,validation,"ablation: GELU MLP in place of SwiGLU, everything else identical"
ablate-swiglu-s19,ablate-swiglu,student,configs/modern-gelu.json,19,,1200,32,256,9830400,1049728,arm64 CPU / macOS-15.6-arm64-arm-64bit,2,fp32,954.9,26.2,,1.62,0,1.935418,,bf642ee64db0cedf8e358076f5f296b5fc1074b4849e025098825e6aff8abec8,validation,"ablation: GELU MLP in place of SwiGLU, everything else identical"
